ESTABLECIMIENTOS SIN NUMERO EN COLUMNA C
Archivo fuente: C:\Users\Nazareno\Downloads\LISTADO ESTABLECIMIENTOS - 17 ZONAS  (1).xlsx
Hoja: ESTABLECIMIENTOS
Total encontrados: 130

Fila 635 | C='' | Zona 14.0 | N° 47.0 | ESCUELA NOCTURNA DALMACIO V SARSFIELD EXT AUL B° VICOR | CUE 140136202.0 | BARBADOS 3200 | VICOR
Fila 672 | C='' | Zona 15.0 | N° 37.0 | ESCUELA NOCTURNA EULOGIA S. DE PALACIO ANEXO REPUBLCA DEL ECUADOR | CUE 140135702.0 | HURTADO Y ACUÑA | RESIDENCIAL SAN ROQUE
Fila 673 | C='' | Zona 15.0 | N° 38.0 | ESCUELA NOCTURNA MANUELA PEDRAZA | CUE 140161300.0 | LA PAMPA Nº 1600 | COLINAS DE BELLA VISTA
Fila 674 | C='' | Zona 15.0 | N° 39.0 | ESCUELA ALEGRIA AHORA | CUE 140572300.0 | JULIO ROCA 571 | BELLA VISTA
Fila 675 | C='' | Zona 15.0 | N° 40.0 | ESCUELA NOCTURNA EULOGIA S. DE PALACIO ANEXO ALEGRIA AHORA | CUE 140572300.0 | JULIO A ROCA 576 | BELLA VISTA
Fila 676 | C='' | Zona 15.0 | N° 41.0 | CENMA Brigadier Juan Ignacio San Martin ANEXO B° LOS GRANADOS | CUE 140511402.0 | JOSE ISEAS 1550 | LOS GRANADOS
Fila 677 | C='' | Zona 15.0 | N° 42.0 | ESCUELA NOCTURNA EULOGIA S. DE PALACIO ANEXO TERCILIO GAMBINO | CUE 140135704.0 | MARIA CURIE Y ZULOAGA | LOS GRANADOS
Fila 678 | C='' | Zona 15.0 | N° 43.0 | CENMA BRIGADIER JUAN IGNACIO SAN MARTIN | CUE 140511400.0 | Esmeralda 4980 | VILLA ADELA
Fila 752 | C='' | Zona 17.0 | N° 37.0 | CENMA N° 94 | CUE 140227600.0 | AV COLON 2772 | ALBERDI
Fila 753 | C='' | Zona 17.0 | N° 38.0 | CENMA Nº 94 ANEXO HIPOLITO VIEYTES | CUE 140227605.0 | VIEYTES 185 | ALTO ALBERDI
Fila 754 | C='' | Zona 17.0 | N° 39.0 | CENMA PERIFERICOS DE ARGUELLO | CUE 140544800.0 | CORONADO ESQ. DOMINGO ALBARIÑOS | QUINTAS DE ARGUELLO
Fila 755 | C='' | Zona 17.0 | N° 40.0 | CENMA PERIFERICOS DE ARGUELLO SEDE B° VILLA URQUIZA | CUE 140544803.0 | LA TABLADA 4699 | VILLA URQUIZA - ARGUELLO NORTE
Fila 756 | C='' | Zona 17.0 | N° 41.0 | CENMA N° 94 SEDE EDUCACION A DISTANCIA | CUE 140227600.0 | AV. COLON 2772 | ALTO ALBERDI
Fila 758 | C='' | Zona  | N°  | leguizamon | CUE  |  | 
Fila 759 | C='' | Zona  | N°  | Escuela Alegria Ahora | CUE  |  | 
Fila 760 | C='' | Zona  | N°  | Isep | CUE  |  | 
Fila 762 | C='' | Zona  | N°  | 140576600.0 | CUE 311505.0 | ESFP Sede San Jorge | VER 
